loan_id,amount_loan,duration,payments,status,gender_clt,age_at_loan,frequency,age_acc,region,ratio of urban inhabitants,average salary,ratio enterpreneurs,criminality_growth,unemploymant_growth,type_trans_count_w,type_trans_count_c,type_trans_mean_w,amount_trans_mean,amount_trans_min,amount_trans_max,amount_trans_std,amount_trans_last,amount_trans_abs_min,balance_mean,balance_min,balance_max,balance_std,balance_last,balance_abs_min,balance_negative,months_until_bankrupt
4959,80952,24,3373,Yes,M,48,monthly,28,Prague,1.0,12541,0.167,0.01114566294286997,0.14,32,22,0.5925925925925926,515.5685185185185,-22400.0,30354.0,11895.998464916345,138.3,13.5,32590.62407407406,1100.0,67529.6,12061.705681876094,27855.2,1100.0,0,8
4961,30276,12,2523,No,F,57,monthly,26,south Bohemia,0.67,9104,0.123,0.000532187678403824,0.5599999999999998,34,46,0.425,198.18000000000006,-18200.0,22708.0,9205.689080326661,15139.0,14.6,25197.09249999999,715.0,58157.5,15039.248404932323,15854.0,715.0,0,6
4973,165960,24,6915,Yes,F,51,monthly,27,south Bohemia,0.569,8427,0.107,0.00041519839030777913,0.41999999999999993,88,37,0.704,189.51520000000042,-41400.0,62235.0,20882.029392885444,114.1,14.6,52523.24480000004,700.0,107069.6,20955.646998372446,23703.8,700.0,0,3
4996,88440,12,7370,Yes,F,51,after-transaction,25,north Bohemia,0.853,9317,0.097,-0.0006010084453394527,0.5800000000000001,15,16,0.4838709677419355,2545.4129032258065,-35100.0,47976.0,21020.897593232345,282.6,100.0,62778.09032258065,200.0,103239.0,21638.258869671175,79007.6,200.0,0,10
5002,104808,12,8734,Yes,M,54,monthly,28,south Moravia,0.483,8512,0.102,-0.0011443829868395957,0.6100000000000003,18,12,0.6,933.8466666666665,-16400.0,25970.0,10052.730130005115,-3900.0,14.6,38709.829999999994,500.0,57865.3,11517.175248212317,28015.4,500.0,0,3
5032,123696,48,2577,Yes,M,54,monthly,28,south Moravia,0.46,8772,0.126,0.002439709481963003,0.29000000000000004,39,22,0.639344262295082,412.90491803278724,-32100.0,48476.0,15349.418522400405,-14.6,14.6,49084.381967213114,300.0,89822.2,20572.457529737083,25187.2,300.0,0,9
5044,100980,60,1683,Yes,M,29,monthly,28,south Moravia,1.0,9897,0.14,-6.450447661067678e-05,0.3599999999999999,43,27,0.6142857142857143,673.3971428571427,-22900.0,20922.0,8168.072604859274,-4739.0,14.6,35614.74428571429,600.0,53376.7,9576.327716908689,48637.7,600.0,0,28
5045,187224,24,7801,No,M,47,monthly,27,Prague,1.0,12541,0.167,0.01114566294286997,0.14,50,38,0.5681818181818182,577.6386363636365,-51900.0,46293.0,17258.630286253032,-14.6,0.2,42084.311363636334,-243.3,92571.3,22038.48158908669,50832.1,200.0,1,6
5060,252060,60,4201,No,F,28,monthly,28,south Moravia,0.519,8441,0.115,0.0033712028777238504,1.0300000000000002,35,26,0.5737704918032787,1149.122950819672,-41700.0,49937.0,16589.841841132715,-13990.0,8.2,57340.50819672131,900.0,106259.6,21418.913855883657,70096.5,900.0,0,16
5082,262980,60,4383,Yes,F,30,monthly,26,central Bohemia,0.413,8598,0.123,0.005155690732738636,0.48999999999999977,32,24,0.5714285714285714,1358.5964285714285,-22300.0,44022.0,13169.319978136018,43444.0,14.6,41729.616071428565,900.0,78574.3,16330.173222315432,76081.3,900.0,0,17
5088,91152,24,3798,Yes,M,53,monthly,26,north Bohemia,0.81,9272,0.118,0.0015705610234346742,0.4200000000000004,46,31,0.5974025974025974,511.4116883116883,-26700.0,34184.0,14032.198318519318,-3800.0,14.6,44829.54415584412,400.0,72327.7,13400.064096640634,39378.8,400.0,0,10
5125,73056,48,1522,Yes,M,24,monthly,26,north Bohemia,0.899,10446,0.09,-0.0017014888027023646,2.0600000000000005,28,23,0.5490196078431373,422.4647058823531,-7100.0,8538.0,3462.2725634371154,5692.0,14.6,23255.149019607838,500.0,33555.4,6550.595429955129,21545.7,500.0,0,14
5126,208128,48,4336,No,M,42,monthly,28,south Moravia,1.0,9897,0.14,-6.450447661067678e-05,0.3599999999999999,35,29,0.546875,1273.0406249999999,-36500.0,47493.0,15857.719330202128,38929.0,14.6,36369.97499999999,-1069.7,96064.0,22812.186440376034,81474.6,300.0,1,18
5128,215616,48,4492,No,M,39,monthly,26,north Moravia,0.484,8173,0.124,-0.03675766563134911,4.185,31,30,0.5081967213114754,141.6508196721314,-18700.0,23130.0,8348.462244442044,-3400.0,6.8,21447.624590163923,-3424.6,50124.8,13056.987306542755,8640.6,200.0,1,1
5130,24312,12,2026,Yes,F,38,monthly,28,south Bohemia,0.569,8427,0.107,0.00041519839030777913,0.41999999999999993,41,37,0.5256410256410257,364.894871794872,-24322.0,18231.0,7820.337301472649,-6600.0,14.6,29380.83974358974,1100.0,48277.9,7695.862800862465,28461.9,1100.0,0,14
5131,48624,24,2026,Yes,M,33,monthly,28,north Bohemia,0.853,9317,0.097,-0.0006010084453394527,0.5800000000000001,68,49,0.5811965811965812,410.20341880341886,-52900.0,41561.0,18414.312454830513,-4514.0,14.6,63857.2367521368,200.0,134187.4,25825.858181660515,47993.6,200.0,0,23
5132,538500,60,8975,Yes,M,34,monthly,27,central Bohemia,0.514,9307,0.118,0.004434404283801874,0.5799999999999996,36,22,0.6206896551724138,401.224137931035,-23800.0,32082.0,12446.443589887402,-4605.0,14.6,33687.85862068966,200.0,69775.9,13408.02036465337,23271.0,200.0,0,2
5136,187104,24,7796,Yes,F,19,monthly,25,north Moravia,0.626,8994,0.11,-0.0020519896339144354,0.9900000000000002,9,16,0.36,3475.112,-49500.0,43502.0,26189.536798171266,43502.0,2.5,66292.37199999999,300.0,137193.5,34581.40134837078,133377.7,300.0,0,17
5138,87216,48,1817,Yes,F,41,monthly,28,Prague,1.0,12541,0.167,0.01114566294286997,0.14,107,41,0.722972972972973,181.0493243243245,-9900.0,15608.0,4828.212336527692,-2400.0,14.6,30847.149324324353,700.0,43787.3,6554.760512834303,29638.3,700.0,0,16
5145,309552,48,6449,Yes,M,60,monthly,26,north Moravia,0.626,8994,0.11,-0.0020519896339144354,0.9900000000000002,19,16,0.5428571428571428,1479.9857142857147,-50600.0,58041.0,24657.712996189184,-16300.0,14.6,56105.49999999996,700.0,121713.2,21979.384405419012,51799.4,700.0,0,8
5148,284280,60,4738,Yes,F,37,monthly,27,north Bohemia,0.623,9065,0.123,0.00016665789519849832,0.9299999999999997,58,36,0.6170212765957447,1006.5680851063828,-56800.0,56756.0,22383.063761266145,-4600.0,14.6,64182.6414893617,300.0,109361.9,20167.802429516258,94617.3,300.0,0,19
5151,189060,60,3151,Yes,F,36,after-transaction,27,central Bohemia,0.674,9753,0.109,0.004323083799777174,0.41000000000000014,16,14,0.5333333333333333,2298.183333333333,-40300.0,60016.0,25706.572244561994,-3400.0,100.0,72242.8966666667,200.0,101793.6,24683.06321415813,68945.6,200.0,0,21
5160,204000,60,3400,Yes,M,51,monthly,26,east Bohemia,0.535,8390,0.132,0.0005390351271224508,0.6100000000000003,40,25,0.6153846153846154,584.5046153846159,-16100.0,30604.0,11314.380759892345,-4500.0,14.6,37809.39846153843,400.0,68172.8,12656.782825432134,45077.7,400.0,0,13
5161,98184,24,4091,Yes,F,49,monthly,27,south Moravia,0.43700000000000006,8403,0.105,0.0049124343257443085,-0.020000000000000462,3,11,0.21428571428571427,4925.442857142857,-18200.0,24545.0,13942.285612575772,24545.0,74.1,41660.392857142855,500.0,68956.1,19672.650902026955,68956.1,500.0,0,16
5170,253200,60,4220,Yes,F,43,weekly,28,east Bohemia,0.619,8363,0.108,0.0016905015394354445,0.9700000000000002,20,21,0.4878048780487805,1979.285365853658,-42600.0,46304.0,18722.099418689144,12950.0,30.0,47302.546341463436,800.0,104417.9,26552.739504598183,81150.6,800.0,0,19
5176,192552,24,8023,No,F,30,weekly,28,south Bohemia,0.584,8547,0.12,-0.00029725674489709255,0.9900000000000002,25,26,0.49019607843137253,435.7921568627451,-18000.0,23844.0,8933.309713915512,-30.0,10.2,23979.01176470588,800.0,49563.0,13015.026674865436,22225.5,800.0,0,2
5189,149040,48,3105,Yes,F,25,monthly,28,central Bohemia,0.365,9622,0.154,0.0007139363010166982,0.13999999999999996,34,20,0.6296296296296297,352.4740740740742,-15900.0,27946.0,10176.811224139317,126.7,14.6,36845.58888888889,200.0,62441.6,12658.246764300018,19048.1,200.0,0,6
5208,99696,48,2077,No,F,23,monthly,28,south Moravia,0.43700000000000006,8403,0.105,0.0049124343257443085,-0.020000000000000462,63,45,0.5833333333333334,305.2500000000001,-55900.0,49327.0,18451.812213648747,-2000.0,0.4,46341.29351851856,-974.6,127684.9,28762.206936050658,32966.8,68.5,1,15
5209,182640,48,3805,Yes,F,54,monthly,25,south Moravia,0.40700000000000003,8544,0.109,0.0012835648783702158,0.5700000000000001,23,17,0.575,597.4600000000003,-23900.0,34246.0,13537.6138604166,900.0,11.5,37802.23000000001,600.0,64411.8,14199.381522847558,23898.3,600.0,0,6
5212,71064,36,1974,Yes,F,48,monthly,27,north Bohemia,0.598,8965,0.104,0.001968503937007874,1.1500000000000004,57,29,0.6627906976744186,365.08023255813964,-13600.0,22908.0,7683.024506776111,-3000.0,14.6,34577.30232558138,700.0,55373.3,9923.171541124484,31397.0,700.0,0,15
5237,45336,24,1889,Yes,M,38,monthly,27,south Bohemia,0.527,8402,0.12,0.0019444660496227735,0.8500000000000001,57,33,0.6333333333333333,442.66333333333347,-19900.0,30436.0,11383.029268904229,-11900.0,14.6,48152.953333333375,800.0,71486.0,11574.102240004077,40939.5,800.0,0,21
5269,164052,36,4557,No,F,19,after-transaction,28,west Bohemia,0.5920000000000001,8930,0.108,0.0024165416171340595,0.6800000000000002,37,28,0.5692307692307692,320.17384615384594,-41400.0,48181.0,18364.06408593354,10800.0,0.4,41752.16153846152,-2564.7,112045.6,30609.38988808058,20811.2,566.6,1,4
5282,388512,48,8094,No,F,27,after-transaction,27,north Moravia,0.484,8173,0.124,-0.03675766563134911,4.185,66,54,0.55,322.47666666666674,-44700.0,40855.0,11945.175136843793,-35300.0,2.4,21371.32,-2838.8,84743.5,21196.682131732654,38697.3,210.0,1,4
5285,78936,12,6578,Yes,F,37,monthly,28,west Bohemia,0.5920000000000001,8930,0.108,0.0024165416171340595,0.6800000000000002,27,24,0.5294117647058824,482.37254901960796,-6300.0,11416.0,4574.925270649935,-1187.0,14.6,25900.319607843132,900.0,40560.3,7684.869705311071,24601.0,900.0,0,3
5301,141948,36,3943,Yes,F,45,monthly,25,north Moravia,0.5720000000000001,9893,0.096,0.00115360413899182,0.6299999999999999,3,7,0.3,4723.98,-16200.0,28840.0,13474.868539766909,176.6,49.6,32592.68,800.0,63263.1,17970.97897715462,47239.7,800.0,0,11
5310,248148,36,6893,Yes,F,54,monthly,27,west Bohemia,0.369,8594,0.112,-0.0007581919190526737,0.3899999999999997,83,37,0.6916666666666667,342.5716666666668,-28960.0,28362.0,9010.165891189434,-6100.0,14.6,36063.78833333336,600.0,67486.0,10761.578895609015,41108.6,600.0,0,5
5311,30060,60,501,Yes,M,44,monthly,27,west Bohemia,0.369,8594,0.112,-0.0007581919190526737,0.3899999999999997,141,45,0.7580645161290323,260.87956989247317,-20000.0,29412.0,8808.490245599618,29412.0,14.6,37213.407526881754,500.0,69382.9,11270.503745870139,48523.3,500.0,0,96
5312,202788,36,5633,Yes,F,42,weekly,26,west Bohemia,0.5920000000000001,8930,0.108,0.0024165416171340595,0.6800000000000002,53,26,0.6708860759493671,1033.2113924050632,-45200.0,72298.0,24885.420719183476,-11994.0,30.0,57124.26835443034,1100.0,139880.9,23297.66357464454,81623.6,1100.0,0,14
5314,96396,12,8033,No,F,45,weekly,28,west Bohemia,0.818,9650,0.1,-0.0019090410496561618,0.29000000000000004,0,4,0.0,5025.0,1100.0,9900.0,3774.8068383251966,3300.0,1100.0,12250.0,1100.0,20100.0,8330.8663014919,20100.0,1100.0,0,2
5316,165960,36,4610,Yes,M,24,monthly,28,east Bohemia,0.735,8369,0.117,-0.0020938877995546053,0.52,20,17,0.5405405405405406,1411.051351351351,-54300.0,36574.0,17882.99905901663,-3419.0,2.9,52083.85945945945,700.0,120512.8,29122.05945394563,52208.9,700.0,0,11
5319,239460,60,3991,Yes,F,51,monthly,28,north Moravia,0.5720000000000001,9893,0.096,0.00115360413899182,0.6299999999999999,28,18,0.6086956521739131,787.8369565217396,-23200.0,35918.0,14366.69601417511,-7400.0,14.6,40061.58043478263,300.0,74408.8,16062.53213841481,36240.6,300.0,0,9
5325,105804,36,2939,Yes,F,53,monthly,28,south Bohemia,0.748,10045,0.135,-0.0017390227705052733,0.29000000000000004,12,13,0.48,1371.7040000000006,-15600.0,26448.0,11376.124631125487,-14.6,14.6,41297.479999999996,1000.0,65898.5,14151.260443037105,34292.7,1000.0,0,11
5329,396120,60,6602,Yes,F,46,weekly,26,south Bohemia,0.527,8402,0.12,0.0019444660496227735,0.8500000000000001,59,36,0.6210526315789474,932.74,-37300.0,59415.0,23071.99069204264,39610.0,30.0,58855.27789473691,500.0,104859.1,20275.14198096615,88610.1,500.0,0,13
5337,162468,36,4513,Yes,F,38,monthly,25,north Bohemia,0.81,9272,0.118,0.0015705610234346742,0.4200000000000004,5,10,0.3333333333333333,4975.92,-34500.0,40614.0,20976.229950323705,-1800.0,70.9,51279.553333333344,700.0,83862.8,24180.888923925817,74638.8,700.0,0,16
5350,249312,48,5194,Yes,M,40,weekly,26,west Bohemia,1.0,10787,0.131,0.0012907086577216645,0.44999999999999973,30,30,0.5,923.7783333333335,-32100.0,47112.0,15757.60533495602,-5300.0,30.0,35914.85499999999,900.0,88597.4,23021.04106123776,55426.5,900.0,0,10
5351,205200,36,5700,Yes,F,31,weekly,28,Prague,1.0,12541,0.167,0.01114566294286997,0.14,93,36,0.7209302325581395,423.148062015504,-31200.0,51303.0,15181.225295158476,-12400.0,30.0,58336.31162790698,900.0,93928.5,17204.070909560676,54586.0,900.0,0,9
5352,68400,12,5700,No,F,18,monthly,27,north Moravia,0.5720000000000001,9893,0.096,0.00115360413899182,0.6299999999999999,5,9,0.35714285714285715,1710.4428571428573,-15800.0,31037.0,11837.386810032427,147.7,66.2,31793.735714285714,800.0,51242.2,12297.15509867766,23946.1,800.0,0,4
5366,86184,12,7182,Yes,F,55,monthly,25,north Moravia,0.899,10177,0.081,0.0008059231850084271,1.12,26,16,0.6190476190476191,944.3095238095239,-50500.0,64642.0,24820.578617052288,-18346.0,14.6,60273.67857142853,300.0,128146.0,25642.077157191914,39660.8,300.0,0,5
5375,101520,12,8460,Yes,F,19,monthly,25,Prague,1.0,12541,0.167,0.01114566294286997,0.14,20,18,0.5263157894736842,440.0210526315792,-10000.0,18513.0,7559.930255260935,-14.6,14.6,26449.092105263157,400.0,43218.7,10352.391968575044,16720.8,400.0,0,1
5385,71460,36,1985,Yes,F,16,monthly,25,Prague,1.0,12541,0.167,0.01114566294286997,0.14,15,16,0.4838709677419355,1601.5774193548389,-26600.0,33669.0,14548.728832117022,-14.6,14.6,49220.9806451613,700.0,76403.1,16380.59460647302,49648.9,700.0,0,25
5388,61560,12,5130,Yes,M,53,weekly,25,west Bohemia,0.5920000000000001,8930,0.108,0.0024165416171340595,0.6800000000000002,49,22,0.6901408450704225,282.41126760563367,-30200.0,46166.0,15201.640624067517,-10303.0,30.0,32967.71267605635,200.0,73559.9,17762.224670277326,20051.1,200.0,0,3
5390,170256,24,7094,Yes,F,29,monthly,28,south Bohemia,0.569,8427,0.107,0.00041519839030777913,0.41999999999999993,46,31,0.5974025974025974,562.3753246753247,-29300.0,36552.0,13573.222844990716,-3720.0,14.6,40091.18311688309,200.0,79869.8,13589.38398884065,43302.8,200.0,0,6
5395,299088,36,8308,No,F,27,monthly,28,north Moravia,0.631,8110,0.109,-0.0015558111905255812,0.7800000000000002,80,46,0.6349206349206349,154.35476190476177,-59400.0,47189.0,19417.910063887335,14198.0,14.6,51992.854761904746,500.0,193909.9,33855.698025767204,19448.5,500.0,0,2
5409,182040,60,3034,Yes,F,44,monthly,27,south Bohemia,0.527,8402,0.12,0.0019444660496227735,0.8500000000000001,35,24,0.5932203389830508,656.7389830508471,-53500.0,61557.0,26231.609295302205,-3000.0,14.6,67475.90169491527,600.0,110447.5,21927.679528674224,38747.5,600.0,0,12
5413,92976,24,3874,Yes,F,25,weekly,27,west Bohemia,0.5920000000000001,8930,0.108,0.0024165416171340595,0.6800000000000002,59,50,0.5412844036697247,197.54036697247682,-45500.0,48996.0,17278.426735303314,-13386.0,30.0,50436.466055045865,300.0,122342.1,26490.316135252076,21531.8,300.0,0,5
5414,185952,48,3874,Yes,M,50,monthly,27,north Bohemia,0.877,9675,0.1,-0.0010619949535277395,1.25,14,20,0.4117647058823529,2423.091176470588,-57400.0,46725.0,20039.547224416445,35092.0,68.7,50113.19411764706,700.0,145318.2,31588.379961912357,82385.2,700.0,0,21
5415,139464,36,3874,No,M,38,monthly,26,north Moravia,0.564,8746,0.09,0.0004285078587242552,0.41000000000000014,12,19,0.3870967741935484,1343.974193548387,-23400.0,36854.0,14163.238445849118,-23400.0,20.2,31532.748387096784,300.0,65062.8,12989.781215090346,41662.8,300.0,0,10
5418,347952,48,7249,Yes,F,30,monthly,28,west Bohemia,0.556,8843,0.113,0.0015312595703723148,0.7800000000000002,70,50,0.5833333333333334,479.5549999999998,-54600.0,49271.0,19447.141625048156,-5800.0,14.6,54157.19416666667,300.0,123013.2,23422.026500661654,57546.3,300.0,0,7
5429,20196,36,561,Yes,M,25,monthly,26,Prague,1.0,12541,0.167,0.01114566294286997,0.14,62,34,0.6458333333333334,684.2145833333334,-24500.0,35469.0,13424.179678797036,-5742.0,14.6,52636.598958333314,200.0,77158.8,15288.688964738765,65684.6,200.0,0,117
5445,46320,24,1930,Yes,M,17,monthly,26,north Bohemia,0.847,8705,0.116,0.001562301441951905,1.8600000000000003,130,48,0.7303370786516854,132.3196629213484,-61600.0,49053.0,15515.980277787308,-11352.0,14.6,43657.81348314611,900.0,119892.5,20752.088935048898,26652.7,900.0,0,13
5449,99336,24,4139,Yes,F,15,monthly,26,north Moravia,0.5720000000000001,9893,0.096,0.00115360413899182,0.6299999999999999,28,24,0.5384615384615384,592.773076923077,-11900.0,16866.0,6291.603155221278,130.2,14.6,27019.571153846144,300.0,46568.0,7892.721828749214,30838.7,300.0,0,7
5450,199680,60,3328,Yes,M,45,monthly,28,east Bohemia,0.619,8363,0.108,0.0016905015394354445,0.9700000000000002,46,28,0.6216216216216216,269.245945945946,-22637.0,29954.0,11145.596511039737,137.0,14.6,33658.61756756758,500.0,62238.8,11909.168772706618,19938.6,500.0,0,5
5452,49440,60,824,Yes,F,29,monthly,26,north Moravia,0.899,10177,0.081,0.0008059231850084271,1.12,79,31,0.7181818181818181,409.2881818181817,-20000.0,30378.0,9690.502464384619,-8000.0,4.0,47798.86545454537,300.0,74419.8,12804.463916870107,45021.6,300.0,0,54
5453,156672,36,4352,Yes,F,38,monthly,27,west Bohemia,0.369,8594,0.112,-0.0007581919190526737,0.3899999999999997,38,37,0.5066666666666667,310.28666666666686,-9000.0,10380.0,4448.2020854872735,80.2,11.2,22927.502666666693,500.0,41876.9,6686.145590252044,23286.1,500.0,0,5
5464,95808,12,7984,Yes,M,54,monthly,28,east Bohemia,0.763,9425,0.125,-0.0011986110939488676,0.78,50,40,0.5555555555555556,805.5611111111111,-57700.0,49008.0,22066.45907735857,26373.0,14.6,59701.78666666667,900.0,122452.2,24705.82136034003,72500.4,900.0,0,9
5470,200976,48,4187,Yes,M,41,monthly,26,south Moravia,0.43700000000000006,8403,0.105,0.0049124343257443085,-0.020000000000000462,18,17,0.5142857142857142,1355.1857142857143,-26600.0,37686.0,15562.094747213838,25124.0,14.6,47938.06571428571,600.0,83553.5,18916.939576271827,47431.4,600.0,0,11
5479,24516,12,2043,Yes,M,35,monthly,28,Prague,1.0,12541,0.167,0.01114566294286997,0.14,42,31,0.5753424657534246,1077.4821917808217,-59200.0,49536.0,24002.833071439152,290.4,12.5,55582.22602739725,200.0,125254.2,29534.218113303323,78670.8,200.0,0,38
5482,165120,60,2752,Yes,F,45,monthly,27,east Bohemia,0.705,8541,0.131,0.0028126973193272485,0.4600000000000004,66,50,0.5689655172413793,196.08103448275895,-6300.0,11210.0,4432.9949332136675,-1080.0,14.6,24377.371551724114,1100.0,37946.3,6878.836566414742,22745.4,1100.0,0,8
5494,360000,48,7500,Yes,F,23,after-transaction,27,south Moravia,0.747,9624,0.145,-0.0011111167484360652,0.71,79,57,0.5808823529411765,476.2169117647058,-59500.0,73228.0,24743.35957066148,-34500.0,0.3,51149.65514705883,600.0,126072.0,26193.21138092937,64765.2,600.0,0,8
5495,89340,60,1489,Yes,F,24,monthly,26,south Moravia,0.519,8441,0.115,0.0033712028777238504,1.0300000000000002,24,20,0.5454545454545454,943.6954545454548,-8200.0,17313.0,6747.272780011627,-14.6,14.6,39644.76363636365,500.0,54020.1,10748.387757632041,41522.6,500.0,0,27
5519,91632,12,7636,Yes,F,31,monthly,28,east Bohemia,0.619,8363,0.108,0.0016905015394354445,0.9700000000000002,43,27,0.6142857142857143,472.31142857142873,-18300.0,26378.0,9484.374323408698,-6100.0,14.6,40976.942857142836,700.0,64577.8,10641.422753595749,33061.9,700.0,0,4
5523,93888,36,2608,Yes,F,43,after-transaction,28,south Moravia,0.505,8288,0.11,-0.0011790135586559245,0.7299999999999995,7,12,0.3684210526315789,1827.1789473684212,-15500.0,15649.0,9929.780911121125,-12000.0,48.0,37510.49473684211,600.0,52378.2,14598.865783434976,34716.3,600.0,0,13
5533,111384,24,4641,Yes,M,27,monthly,28,central Bohemia,0.365,9622,0.154,0.0007139363010166982,0.13999999999999996,97,55,0.6381578947368421,344.2026315789472,-61700.0,49388.0,20818.629661712035,31759.0,14.6,65097.22434210526,500.0,141386.0,26285.863067554485,52318.9,500.0,0,11
5549,50460,60,841,Yes,F,46,monthly,28,central Bohemia,0.365,9622,0.154,0.0007139363010166982,0.13999999999999996,24,19,0.5581395348837209,965.8372093023257,-15000.0,22927.5,9363.894257275637,-600.0,14.6,37570.627906976755,800.0,51971.4,10371.123781863109,41531.0,800.0,0,49
5563,380160,60,6336,Yes,M,46,monthly,27,north Moravia,1.0,10673,0.1,-0.0013431315033809862,0.6900000000000004,62,47,0.5688073394495413,225.22660550458687,-62500.0,48887.0,23113.020728863998,-6100.0,14.6,64777.07522935782,1100.0,147375.1,27227.866078850297,24549.6,1100.0,0,3
5568,272520,60,4542,Yes,M,54,monthly,28,central Bohemia,0.467,10124,0.141,0.005494982841753182,-0.020000000000000018,50,34,0.5952380952380952,357.26428571428596,-56700.0,42400.0,16988.15057378243,1300.0,13.3,44602.641666666634,1100.0,121891.4,24196.754530887032,30009.9,1100.0,0,6
5576,31248,12,2604,Yes,F,55,monthly,28,Prague,1.0,12541,0.167,0.01114566294286997,0.14,69,51,0.575,449.35499999999973,-64100.0,47033.0,20724.01817110469,6268.0,14.6,64493.09916666662,1000.0,144715.3,28994.626431825105,53922.3,1000.0,0,20
5586,48744,36,1354,Yes,F,32,monthly,25,north Moravia,0.535,8909,0.113,0.0008751556767309569,1.5499999999999998,3,11,0.21428571428571427,4492.235714285714,-18600.0,28603.5,14694.440290364513,19069.0,53.7,42930.20714285715,900.0,62891.3,19512.790972253762,62891.3,900.0,0,46
5591,155616,48,3242,Yes,F,37,monthly,25,central Bohemia,0.467,10124,0.141,0.005494982841753182,-0.020000000000000018,14,16,0.4666666666666667,814.9,-21800.0,29176.0,13037.779913720768,-7500.0,14.6,39426.06999999999,300.0,62153.6,13711.094458293303,24447.1,300.0,0,7
5593,277884,36,7719,No,F,15,monthly,27,east Bohemia,0.53,8254,0.097,0.0015055962729390376,0.9699999999999998,71,46,0.6068376068376068,99.26495726495719,-53200.0,47031.0,16757.672993480737,8000.0,14.6,46487.00256410256,1000.0,129394.2,28041.875079726327,11614.0,1000.0,0,1
